254443,37789,0.64,-64.6,-65.7,-1.01,4,7,1.39,0,0,0,0,0,-27,7,1033,1,1,35,35,0,0,0,1,2,2,1,0.64,0.63
254445,37790,0.64,-64.1,-65.7,-1.10,4,7,1.81,0,0,0,0,0,-27,7,1033,1,1,35,35,0,0,0,1,2,2,1,0.64,0.63
254448,37791,0.61,-64.4,-65.9,-1.28,4,7,1.06,0,0,0,0,0,-27,6,1034,1,1,35,35,0,0,0,1,-3,4,1,0.64,0.63
254450,37792,0.65,-64.3,-65.5,-0.98,4,7,1.67,0,0,0,0,0,-25,6,1034,1,1,35,35,0,0,0,1,-3,4,1,0.64,0.63
254452,37793,0.61,-63.7,-64.9,-1.16,4,7,1.03,0,0,0,0,0,-25,6,1034,1,1,35,35,0,0,0,1,-3,4,1,0.64,0.63
254454,37794,0.61,-61.6,-63.2,-1.24,4,7,1.45,0,0,0,0,0,-25,6,1034,1,1,35,35,0,0,0,1,-3,4,1,0.61,0.63
254457,37795,0.62,-64.0,-65.6,-1.25,4,7,1.80,0,0,0,0,0,-25,6,1034,1,1,35,35,0,0,0,1,-3,4,1,0.61,0.63
254459,37796,0.60,-62.0,-63.4,-1.24,4,7,1.20,0,0,0,0,0,-25,6,1034,1,1,35,35,0,0,0,1,-3,4,1,0.61,0.63
254461,37797,0.60,-61.6,-63.3,-1.16,4,7,1.64,0,0,0,0,0,-25,6,1034,1,1,35,35,0,0,0,1,-3,4,1,0.61,0.63
254463,37798,0.61,-63.8,-65.6,-1.27,4,7,1.88,0,0,0,0,0,-25,6,1034,1,1,35,35,0,0,0,1,-3,4,1,0.61,0.63
254466,37799,0.61,-64.1,-65.6,-1.28,4,7,1.17,0,0,0,0,0,-25,6,1034,1,1,35,35,0,0,0,1,-3,4,1,0.61,0.62
254468,37800,0.60,-64.4,-66.4,-1.27,4,7,1.73,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,2,-3,1,1,0.60,0.62
254470,37801,0.62,-64.4,-66.7,-1.21,4,7,0.98,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,2,-3,1,1,0.61,0.62
254472,37802,0.65,-64.4,-66.0,-1.18,4,7,1.38,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,2,-3,1,1,0.61,0.62
254475,37803,0.62,-64.6,-66.5,-1.16,4,7,1.84,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,2,-3,1,1,0.62,0.62
254477,37804,0.60,-64.4,-65.9,-1.15,4,7,1.22,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,2,-3,1,1,0.62,0.62
254479,37805,0.63,-64.6,-66.3,-1.12,4,7,1.66,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,2,-3,1,1,0.62,0.62
254481,37806,0.63,-64.3,-66.3,-1.25,4,7,0.92,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,2,-3,1,1,0.63,0.62
254484,37807,0.66,-64.3,-65.6,-1.03,4,7,1.34,0,0,0,0,0,-26,6,1034,1,1,35,35,0,0,0,2,-3,1,1,0.63,0.62
